INCIDENT_CAUSE,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,LOSS_EVENT_DAYS,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,START_DATE,EXPIRY_DATE,EXPIRY_DAYS,INITIAL_ODOMETER,LOW_MILEAGE_USE,GENDER,BIRTHDATE,DRIVERS_LICENSE_EXPIRY,DATE_AT_CURRENT_ADDRESS,COMMUTE_DISCOUNT,SUSPICIOUS_CLAIM_TIME,SUSPICIOUS_CLAIM_FLAG,DL_EXPIRED,EXCESSIVE_CLAIM_AMOUNT
3,1,157654.9,2017-04-25,115,2017-04-28,1,1,41.90210313,-87.75562353,35765,1,2016-09-19,2017-09-19,262,144972,0,M,1973-12-25,2018-08-19,1999-04-16,0,147,0,0,1
3,3,226154.5,2018-08-26,238,2018-08-31,0,1,41.96356191,-87.73139688,1909,0,2017-06-14,2018-06-14,165,212580,0,F,1945-09-14,2018-01-27,2011-06-09,0,-73,1,1,0
1,1,83968.6,2016-01-07,7,2016-01-11,0,2,41.73660156,-87.6049681,25730,1,2015-08-24,2016-08-23,236,77994,1,F,1988-05-16,2019-11-19,2005-05-21,0,229,0,0,1
1,1,309570.3,2016-12-11,346,2016-12-18,0,1,41.90992525,-87.73155722,40880,1,2015-07-25,2016-07-24,206,296352,0,M,1974-01-18,2019-05-16,2000-03-11,0,-140,1,0,1
3,3,136633.9,2017-06-06,157,2017-06-08,0,1,41.9237502,-87.78988086,2130,0,2016-01-08,2017-01-07,7,134244,0,M,1950-05-01,2020-07-06,2012-07-04,0,-150,1,0,0
1,3,326514.1,2018-03-06,65,2018-03-19,0,1,41.90925707,-87.78505659,1970,0,2017-01-15,2018-01-15,15,316848,0,F,1996-07-11,2021-09-26,2001-07-15,0,-50,1,0,0
2,3,58477.9,2017-08-13,225,2017-08-18,0,1,41.92839511,-87.7964676,2290,0,2016-07-08,2017-07-08,189,53232,1,F,1994-01-17,2019-05-10,2004-04-08,0,-36,1,0,0
1,3,176476.9,2017-02-10,41,2017-02-18,0,1,41.88571554,-87.72837561,2990,0,2016-08-11,2017-08-11,223,165900,0,M,1948-05-28,2019-04-26,1999-02-02,0,182,0,0,0
3,3,277812.7,2018-02-16,47,2018-02-24,0,1,41.89505399,-87.74566176,1170,0,2017-10-13,2018-10-13,286,268104,0,M,2001-06-06,2021-04-15,2005-03-07,0,239,0,0,0
5,3,190541.3,2016-12-28,363,2017-01-11,0,1,41.89197561,-87.61458027,2090,0,2015-06-23,2016-06-22,174,178656,0,F,1996-05-13,2019-08-07,2012-03-04,0,-189,1,0,0
1,3,290975.1,2017-08-12,224,2017-08-25,0,1,41.91122338,-87.63865603,2130,0,2016-04-14,2017-04-14,104,280368,0,F,1984-03-15,2019-07-02,2017-05-03,0,-120,1,0,0
3,1,159873.2,2018-07-30,211,2018-07-30,1,5,41.73583545,-87.66786637,33040,1,2017-02-22,2018-02-22,53,157344,0,M,1944-08-17,2018-03-29,2008-07-06,0,-158,1,1,1
1,3,391866.9,2018-02-22,53,2018-02-26,0,1,41.73416431,-87.55121062,2400,0,2017-01-10,2018-01-10,10,385536,0,M,1976-03-10,2018-04-01,2012-05-15,0,-43,1,0,0
3,1,384000.6,2017-02-06,37,2017-02-06,0,3,41.79185207,-87.8013778,21330,1,2016-06-04,2017-06-04,155,370668,0,F,1967-11-25,2019-07-13,2007-01-14,0,118,0,0,1
2,3,251644.8,2018-07-10,191,2018-07-18,1,1,42.00593081,-87.68066049,3427,0,2017-04-10,2018-04-10,100,237900,0,F,1964-03-12,2020-04-25,2009-09-25,0,-91,1,0,0
2,1,300279.3,2017-07-29,210,2017-08-10,0,1,41.69340052,-87.61232172,35385.5,1,2016-11-25,2017-11-25,329,294552,0,F,1965-04-06,2019-04-13,1999-07-04,0,119,0,0,1
2,3,73419.5,2017-12-30,364,2018-01-03,0,1,41.84014456,-87.66133946,1570,0,2016-04-06,2017-04-06,96,68880,1,M,1949-11-29,2020-07-15,2002-05-21,0,-268,1,0,0
2,3,118923.9,2018-01-16,16,2018-01-28,0,1,41.97517487,-87.7683442,2370,0,2017-11-21,2018-11-21,325,107052,1,F,1977-11-26,2018-07-31,2012-07-16,0,309,0,0,0
1,1,182681.3,2017-04-25,115,2017-05-07,1,1,41.89017255,-87.64999164,26250,1,2016-07-23,2017-07-23,204,177168,0,M,1990-05-06,2019-09-28,2004-11-26,0,89,0,0,1
5,1,160429.9,2018-02-10,41,2018-02-19,1,3,41.84065787,-87.72589914,25830,1,2017-07-11,2018-07-11,192,155820,0,F,1977-10-28,2021-07-22,2007-02-23,0,151,0,0,1
